node_id,flood_bool
23348,0.0
23349,0.0
23350,0.0
23351,0.0
23352,0.0
23353,0.0
23354,0.0
23355,0.0
23356,0.0
23357,0.0
23358,0.0
23359,1.0
23360,0.0
23361,0.0
23362,0.0
23363,0.0
23364,0.0
23365,1.0
23368,0.0
23369,0.0
23370,1.0
23371,1.0
23372,1.0
23373,1.0
23374,1.0
23375,1.0
23376,1.0
23377,1.0
23378,1.0
23379,1.0
23380,1.0
23381,1.0
23382,0.0
23383,1.0
23384,1.0
23385,1.0
23386,1.0
23387,1.0
23388,1.0
23389,1.0
23390,1.0
23391,1.0
23392,1.0
23393,1.0
23394,1.0
23395,1.0
23396,1.0
23397,1.0
23398,1.0
23399,1.0
23400,1.0
23400d1,1.0
23400d2,1.0
23401,1.0
23402,1.0
23403,1.0
23404,1.0
23405,1.0
23405d1,1.0
23405d2,1.0
23406,1.0
23407,1.0
23407d1,1.0
23407d2,1.0
23408,1.0
23409,1.0
23410,1.0
23411,1.0
23412,1.0
23413,1.0
23414,1.0
23415,0.0
23416,0.0
23417,1.0
23418,1.0
23419,1.0
23420,1.0
23421,1.0
23430,1.0
23430d1,1.0
23430d2,1.0
23431,0.0
23432,1.0
23433,1.0
23434,1.0
23435,0.0
23436,0.0
23437,0.0
23438,0.0
23439,1.0
23439d1,1.0
23439d2,1.0
23461,0.0
23461d1,0.0
23461d2,0.0
23528,0.0
23530,0.0
23531,0.0
23532,0.0
23533,0.0
23534,0.0
23548,0.0
23550,0.0
23552,0.0
23553,0.0
23554,0.0
23555,0.0
23555d1,0.0
23555d2,0.0
23556,0.0
23556d1,0.0
23556d2,0.0
23557,0.0
23558,0.0
23558d1,0.0
23559,0.0
23560,0.0
23561,0.0
23561d1,0.0
23562,0.0
23565,0.0
23566,0.0
23567,0.0
23568,0.0
23570,0.0
23571,0.0
23572,0.0
23574,0.0
23575,0.0
23576,0.0
23576d1,0.0
23576d2,0.0
23577,0.0
23577d1,0.0
23577d2,0.0
23578,0.0
23579,0.0
23580,0.0
23581,0.0
23582,0.0
23583,0.0
23584,0.0
23585,0.0
23586,1.0
23587,0.0
23588,1.0
23589,1.0
23590,1.0
23591,1.0
23592,0.0
23593,0.0
23594,0.0
23595,0.0
23596,0.0
23597,0.0
23598,0.0
23599,0.0
23600,1.0
23601,1.0
23602,1.0
23603,1.0
23604,1.0
23605,1.0
23606,1.0
23607,1.0
23607d1,1.0
23607d2,1.0
23608,1.0
23609,1.0
23610,0.0
23610d1,0.0
23610d2,0.0
23611,0.0
23612,0.0
23612d1,0.0
23612d2,0.0
23613,1.0
23614,1.0
23615,1.0
23616,0.0
23617,1.0
23618,1.0
23619,1.0
23620,1.0
23621,1.0
23622,1.0
23623,0.0
23624,0.0
23624d1,0.0
23624d2,0.0
23625,0.0
23626,1.0
23627,0.0
23628,0.0
23629,0.0
23630,0.0
23631,0.0
23632,0.0
23633,0.0
23634,0.0
23635,0.0
23636,0.0
23637,0.0
23638,1.0
23639,0.0
23640,0.0
23642,0.0
23643,1.0
23644,1.0
23645,1.0
23645d1,1.0
23645d2,1.0
23646,1.0
23647,1.0
23648,1.0
23649,1.0
23649d1,1.0
