node_id,rg_id
M_0104,280
M_0105,280
M_0108,280
M_0113,280
M_0120,280
M_0121,280
M_0124,280
41221,280
41222,280
41223,280
42408,280
42410,280
42413d1,280
42413d2,280
42416,280
M_0161,280
M_0201,280
40143,280
42449,280
40144,280
RI3A107_IP01,280
RI3A107_IP01',280
RI3A107_IP02,280
RI3A107_IP03,280
RI3A107_IP06,280
40154,280
RI3A107_IP07,280
RI3A107_IP07',280
RI3A107_IP08,280
RI3A107_IP10,280
42470,280
42471,280
42472,280
42473,280
42474,280
41281,280
42475,280
41282d1,280
41282d2,280
41283,280
41298d1,280
41298d2,280
41302,280
RI3A136_D06d1,280
RI3A136_D07,280
RI3A136_D08,280
RI3A136_D09,280
RI3A136_D10,280
RI3A136_D11,280
RI3A136_D12,280
RI3A136_R01,280
RI3A136_R02,280
RI3A136_R03,280
RI3A136_R4,280
RI3A136_R5,280
40229,280
44015,280
44033,280
44034,280
40265,280
41358,280
41359,280
42604,280
42605,280
42606,280
42610,280
42611,280
42612,280
42613,280
42614,280
42615,280
42617,280
42618,280
42619,280
42620,280
42621,280
42623,280
42624,280
42625,280
42626,280
42627,280
42628,280
42633,280
42636,280
41410,280
41411,280
40315,280
41413,280
41414,280
41416,280
41417,280
41418,280
41419,280
41420,280
42656,280
RI3AA002_IP03,280
42663,280
42665,280
42666,280
42668,280
41432,280
RI3AA002_IP11,280
42670,280
41433,280
42671,280
41434,280
42671,280
42674,280
42675,280
42679,280
41438,280
42680,280
41439,280
42681,280
41440,280
41441,280
41442,280
41443d1,280
41443d2,280
40348,280
41455,280
40351d1,280
41460,280
40351d2,280
42707,280
41461,280
40352d1,280
42708,280
41462,280
40352d2,280
42709,280
41463,280
42711,280
41464,280
42713,280
41465,280
44601,280
M_0163,280
44603,280
41467,280
41468,280
41469,280
40373,280
42724,280
41471,280
40374,280
42725,280
41472,280
42728,280
41473,280
42730,280
41474,280
42731,280
41475,280
42732,280
41476,280
42734,280
41477,280
42735,280
41478,280
42743,280
41479,280
42747,280
41479d2,280
42748,280
41480,280
42749,280
41481,280
42751,280
41482,280
42752,280
41483,280
42754,280
41484,280
42756,280
40395d1,280
40395d2,280
40396d2,280
40412,280
40414,280
40416,280
40430,280
40430d2,280
40438,280
40440,280
40453,280
40456,280
40457,280
40458,280
40459d1,280
40460,280
40461,280
40462,280
40471,280
Brouwersvliet OV1,280
Brouwersvliet OV5,280
40477,280
40478,280
40480,280
40481,280
40482,280
40483,280
40484,280
40487,280
40488,280
40496,280
42889,280
6129,280
42890,280
Brouwersvliet OV5,280
42892,280
42893,280
42894,280
42895,280
42896,280
42901,280
41598,280
41599,280
41600,280
41601d1,280
41601d2,280
44375,280
44376,280
41608,280
41609,280
41610,280
40514d1,280
40514d2,280
41611,280
40515,280
44406,280
44419,280
44420,280
44421,280
44422,280
44423,280
44424,280
44425,280
44426,280
41666,280
41667,280
41668,280
41669,280
41670,280
41671,280
41672d1,280
41672d2,280
41673,280
41674,280
41675,280
41676,280
41677,280
41678,280
41679,280
41680,280
40568,280
40570,280
41683,280
41701d1,280
41724,280
40623,280
40624,280
40625,280
40626,280
40627,280
40629,280
40630,280
40657,280
6005,280
40658,280
6026,280
41778,280
40661,280
6029,280
41779,280
40662,280
6031,280
41780,280
6057,280
41792d1,280
6077,280
41792d2,280
6080,280
41792d3,280
6095,280
41793,280
41794,280
41795d1,280
41795d2,280
41796d1,280
41796d2,280
41797,280
41798d1,280
41798d2,280
41799,280
41801,280
41802,280
41803,280
6652,280
6654,280
6699,280
6704,280
6705,280
41840,280
41841,280
41842,280
40726,280
40727,280
40728,280
40729,280
Ruien fase 5 OV1,280
40730,280
M_0165,280
40731,280
44604,280
40732d1,280
41861,280
40732d2,280
40733,280
41863,280
40734,280
40736,280
40737,280
40739,280
40741d1,280
40741d2,280
40742d1,280
40742d2,280
40743,280
40744,280
40746,280
40747,280
40748,280
40752,280
40753,280
41889,280
41890,280
41892d1,280
41892d2,280
41893,280
41897,280
41898,280
41899,280
40768d1,280
40768d2,280
M_0167,280
40769,280
40770,280
40771,280
40772,280
40777,280
40780,280
40784,280
40785,280
41926,280
41927,280
41929,280
41934,280
41935,280
41936,280
41936d1,280
41937,280
41938,280
41939,280
41939d1,280
41940,280
41941,280
41942,280
41943,280
41944,280
41945,280
41958,280
41959,280
41960,280
40841,280
40842,280
41962,280
41963,280
41964,280
41965,280
41966,280
41967,280
41968,280
40854,280
41969,280
41981,280
41982,280
41983,280
41984,280
41985,280
41986,280
40881,280
40883,280
40886,280
40887,280
40888,280
40889,280
40890,280
6127,280
6128,280
42024,280
43360,281
40927,281
43361,281
40928,281
43362,281
6133,281
43363,281
6133,281
43364,281
40931,281
43365,281
40933,281
43366,281
40934,281
43367,281
40935,281
43368,281
40936,281
40938d1,281
43372,281
40939,281
40943,281
40945,281
40949,281
40950,281
RI3A141_DK3,281
40954,281
40955,281
RI3A146_IP01,281
40957,281
40958d1,281
40958d2,281
40959d1,281
40960,281
40961,281
40962,281
40963d1,281
40963d2,281
40964,281
40965d1,281
40965d2,281
40966,281
40967,281
40836,281
40968,281
40969,281
40970,281
40971,281
42086,281
43405d1,281
40971,281
43405d2,281
40973,281
40974,281
40975,281
43408,281
40976,281
40977,281
40978d1,281
40978d2,281
40979,281
40993,281
43427,281
43429,281
40995,281
43430,281
40996,281
42118d1,281
43431,281
42118d2,281
43432,281
43433,281
43434,281
43435,281
43436,281
42123,281
43437,281
43438,281
43439,281
43440,281
43442,281
43443,281
43444,281
43446,281
43447,281
43448,281
43448d1,281
41013,281
43449,281
43450,281
43451,281
41016,281
43452,281
43453,281
41018,281
43454,281
40836,281
43455,281
43456,281
41020d1,281
42143,281
41020d2,281
43457,281
43458,281
41021,281
43459,281
41022,281
43460,281
41022d2,281
43461,281
41023,281
43462,281
41023d1,281
43463,281
41024,281
43464,281
41025,281
43465,281
41026,281
43466,281
41027,281
43467,281
41028,281
43468,281
41029,281
43469,281
41030,281
43470,281
41031,281
43471,281
41034,281
43472,281
43473,281
43474,281
43476,281
43477,281
43478,281
43479,281
43480,281
43481,281
43482,281
42185d1,281
42185d2,281
43485,281
42186,281
43486,281
42187,281
42188,281
42189d1,281
42189d2,281
42190,281
42191,281
42192,281
43508,281
42249,281
