,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10033,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08,8.798474450190253e-08
101A,3.940477743248547e-09,3.940477743248547e-09,3.94047774324852e-09,3.94047774324852e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.94047774324852e-09,3.94047774324852e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.940477743248547e-09,3.94047774324852e-09,3.94047774324852e-09
101B,3.920059526567097e-09,3.920059526567097e-09,3.92005952656707e-09,3.92005952656707e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.92005952656707e-09,3.92005952656707e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.920059526567097e-09,3.92005952656707e-09,3.92005952656707e-09
10575,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568387e-08,2.6337412651568387e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568387e-08,2.6337412651568387e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08,2.6337412651568576e-08
10576,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07,4.095099036848479e-07
10578,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08,4.609436754156984e-08
10579,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08,4.592100565118757e-08
10610,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05,1.4019438292629728e-05
10611,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08,2.9247689160127322e-08
10613,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08,3.7919798147785994e-08
