!Version=1,type=LEV,encoding=MBCS
FILECONT, TITLE
3,1
UserSettings,U_VALUES,U_DATETIME
UserSettingsValues,m AD,dd-mm-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_DATATYPE
00/00/0000 00:00:00,300,21,    0
L_NODEID,L_PIPELEVEL,L_PTITLE
SM06003201,  0.000,        
SR06987501,  0.000,        
SR05967203,  0.000,        
SR05967204,  0.000,        
SR05967205,  0.000,        
LO_GR_218,  0.000,        
SM10001202,  0.000,        
SR11963501,  0.000,        
SR09986101,  0.000,        
SR07937404,  0.000,        
SR06939113,  0.000,        
SR06937110,  0.000,        
SR06937111,  0.000,        
SR06936107,  0.000,        
SR06935211,  0.000,        
SR06934242,  0.000,        
DE_RWZI_LOZ_TSK,  0.000,        
SM10001104,  0.000,        
SM07006201,  0.000,        
 OA_DUM7,  0.000,        
SR05948309,  0.000,        
P_DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
00/00/0000 05:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.718750,2.718750,2.718750,2.718750,2.718750,2.718750,2.718750,2.718750,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.687500,2.687500,2.687500,2.687500,2.687500,2.687500,2.687500,2.687500,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.656250,2.656250,2.656250,2.656250,2.656250,2.656250,2.656250,2.656250,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.625000,2.625000,2.625000,2.625000,2.625000,2.625000,2.625000,2.625000,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.593750,2.593750,2.593750,2.593750,2.593750,2.593750,2.593750,2.593750,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.950000,5.900000,2.562500,2.562500,2.562500,2.562500,2.562500,2.562500,2.562500,2.562500,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.531250,2.531250,2.531250,2.531250,2.531250,2.531250,2.531250,2.531250,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:45:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.500000,2.500000,2.500000,2.500000,2.500000,2.500000,2.500000,2.500000,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:50:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.468750,2.468750,2.468750,2.468750,2.468750,2.468750,2.468750,2.468750,6.000000,6.000000,4.600000,4.600000
00/00/0000 05:55:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.437500,2.437500,2.437500,2.437500,2.437500,2.437500,2.437500,2.437500,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:00:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.406250,2.406250,2.406250,2.406250,2.406250,2.406250,2.406250,2.406250,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:05:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.375000,2.375000,2.375000,2.375000,2.375000,2.375000,2.375000,2.375000,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.960000,5.900000,2.343750,2.343750,2.343750,2.343750,2.343750,2.343750,2.343750,2.343750,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.312500,2.312500,2.312500,2.312500,2.312500,2.312500,2.312500,2.312500,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.281250,2.281250,2.281250,2.281250,2.281250,2.281250,2.281250,2.281250,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.250000,2.250000,2.250000,2.250000,2.250000,2.250000,2.250000,2.250000,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.218750,2.218750,2.218750,2.218750,2.218750,2.218750,2.218750,2.218750,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.187500,2.187500,2.187500,2.187500,2.187500,2.187500,2.187500,2.187500,6.000000,6.000000,4.600000,4.600000
00/00/0000 06:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.970000,5.900000,2.156250,2.156250,2.156250,2.156250,2.156250,2.156250,2.156250,2.156250,6.000000,6.000000,4.600000,4.600000
